timestamp, utilization.gpu [%], memory.used [MiB], memory.free [MiB], temperature.gpu
2026/03/19 23:23:03.515, [N/A], 93 MiB, 95227 MiB, 30
2026/03/19 23:23:03.516, [N/A], 93 MiB, 80987 MiB, 27
2026/03/19 23:23:03.516, [N/A], 93 MiB, 80987 MiB, 26
2026/03/19 23:23:03.517, [N/A], 68 MiB, 95252 MiB, 29
2026/03/19 23:23:03.517, 98 %, 2025 MiB, 93295 MiB, 66
2026/03/19 23:23:03.517, 0 %, 4 MiB, 95317 MiB, 27
2026/03/19 23:23:03.517, 96 %, 61783 MiB, 33538 MiB, 59
2026/03/19 23:24:03.519, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/19 23:24:03.519, [N/A], 93 MiB, 95227 MiB, 31
2026/03/19 23:24:03.520, [N/A], 93 MiB, 80987 MiB, 28
2026/03/19 23:24:03.520, [N/A], 93 MiB, 80987 MiB, 27
2026/03/19 23:24:03.521, [N/A], 68 MiB, 95252 MiB, 30
2026/03/19 23:24:03.522, 33 %, 2025 MiB, 93295 MiB, 63
2026/03/19 23:24:03.522, 0 %, 4 MiB, 95317 MiB, 28
2026/03/19 23:24:03.522, 100 %, 61783 MiB, 33538 MiB, 60
2026/03/19 23:25:03.522, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/19 23:25:03.523, [N/A], 93 MiB, 95227 MiB, 32
2026/03/19 23:25:03.524, [N/A], 93 MiB, 80987 MiB, 28
2026/03/19 23:25:03.524, [N/A], 93 MiB, 80987 MiB, 27
2026/03/19 23:25:03.525, [N/A], 68 MiB, 95252 MiB, 30
2026/03/19 23:25:03.525, 98 %, 2025 MiB, 93295 MiB, 67
2026/03/19 23:25:03.525, 0 %, 4 MiB, 95317 MiB, 28
2026/03/19 23:25:03.525, 100 %, 61783 MiB, 33538 MiB, 60
2026/03/19 23:26:03.526, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/19 23:26:03.526, [N/A], 93 MiB, 95227 MiB, 32
2026/03/19 23:26:03.527, [N/A], 93 MiB, 80987 MiB, 28
2026/03/19 23:26:03.527, [N/A], 93 MiB, 80987 MiB, 27
2026/03/19 23:26:03.528, [N/A], 68 MiB, 95252 MiB, 30
2026/03/19 23:26:03.529, 98 %, 2025 MiB, 93295 MiB, 67
