timestamp, utilization.gpu [%], memory.used [MiB], memory.free [MiB], temperature.gpu
2026/03/20 02:28:37.401, [N/A], 93 MiB, 80987 MiB, 27
2026/03/20 02:28:37.402, [N/A], 93 MiB, 80987 MiB, 25
2026/03/20 02:28:37.402, [N/A], 68 MiB, 95252 MiB, 29
2026/03/20 02:28:37.403, 98 %, 2025 MiB, 93295 MiB, 66
2026/03/20 02:28:37.403, 0 %, 4 MiB, 95317 MiB, 27
2026/03/20 02:28:37.403, 96 %, 13015 MiB, 82305 MiB, 63
2026/03/20 02:29:37.403, [N/A], 27305 MiB, 68016 MiB, 33
2026/03/20 02:29:37.404, [N/A], 93 MiB, 95227 MiB, 30
2026/03/20 02:29:37.405, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 02:29:37.405, [N/A], 93 MiB, 80987 MiB, 25
2026/03/20 02:29:37.406, [N/A], 68 MiB, 95252 MiB, 29
2026/03/20 02:29:37.406, 94 %, 2025 MiB, 93295 MiB, 65
2026/03/20 02:29:37.406, 0 %, 4 MiB, 95317 MiB, 27
2026/03/20 02:29:37.407, 95 %, 13015 MiB, 82305 MiB, 63
2026/03/20 02:30:37.408, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/20 02:30:37.408, [N/A], 93 MiB, 95227 MiB, 30
2026/03/20 02:30:37.409, [N/A], 93 MiB, 80987 MiB, 27
2026/03/20 02:30:37.409, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 02:30:37.410, [N/A], 68 MiB, 95252 MiB, 29
2026/03/20 02:30:37.410, 97 %, 2025 MiB, 93295 MiB, 65
2026/03/20 02:30:37.411, 0 %, 4 MiB, 95317 MiB, 27
2026/03/20 02:30:37.411, 95 %, 13015 MiB, 82305 MiB, 63
2026/03/20 02:31:37.411, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/20 02:31:37.412, [N/A], 93 MiB, 95227 MiB, 31
2026/03/20 02:31:37.412, [N/A], 93 MiB, 80987 MiB, 28
2026/03/20 02:31:37.413, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 02:31:37.413, [N/A], 68 MiB, 95252 MiB, 30
2026/03/20 02:31:37.414, 88 %, 2025 MiB, 93295 MiB, 64
2026/03/20 02:31:37.414, 0 %, 4 MiB, 95317 MiB, 28
2026/03/20 02:31:37.414, 95 %, 13015 MiB, 82305 MiB, 63
2026/03/20 02:32:37.416, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/20 02:32:37.416, [N/A], 93 MiB, 95227 MiB, 31
2026/03/20 02:32:37.417, [N/A], 93 MiB, 80987 MiB, 28
2026/03/20 02:32:37.417, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 02:32:37.418, [N/A], 68 MiB, 95252 MiB, 30
2026/03/20 02:32:37.418, 97 %, 2025 MiB, 93295 MiB, 65
2026/03/20 02:32:37.419, 0 %, 4 MiB, 95317 MiB, 28
2026/03/20 02:32:37.419, 95 %, 13015 MiB, 82305 MiB, 64
2026/03/20 02:33:37.420, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/20 02:33:37.420, [N/A], 93 MiB, 95227 MiB, 31
2026/03/20 02:33:37.421, [N/A], 93 MiB, 80987 MiB, 28
2026/03/20 02:33:37.421, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 02:33:37.422, [N/A], 68 MiB, 95252 MiB, 30
2026/03/20 02:33:37.422, 90 %, 2025 MiB, 93295 MiB, 60
